torna;datum;burkolat;eredmeny;gyoztes neve;gyoztes magassaga;gyoztes nemzetisege;gyoztes eletkora;vesztes neve;vesztes magassaga;vesztes nemzetisege;vesztes eletkora
Auckland;2016-01-04;Kemény;6-1 7-5;Jelena Ostapenko;;LAT;18,57;Johanna Larsson;174;SWE;27,38
Auckland;2016-01-04;Kemény;7-5 6-4;Naomi Broady;;GBR;25,85;Ana Ivanovic;183;SRB;28,16
Brisbane;2016-01-04;Kemény;6-3 6-1;Victoria Azarenka;180;BLR;26,43;Angelique Kerber;173;GER;27,96
Brisbane;2016-01-04;Kemény;6-0 6-3;Victoria Azarenka;180;BLR;26,43;Samantha Crawford;;USA;20,88
Brisbane;2016-01-04;Kemény;6-2 6-3;Angelique Kerber;173;GER;27,96;Carla Suarez Navarro;162;ESP;27,33
Brisbane;2016-01-04;Kemény;6-1 6-2;Victoria Azarenka;180;BLR;26,43;Roberta Vinci;163;ITA;32,88
Brisbane;2016-01-04;Kemény;6-3 6-0;Samantha Crawford;;USA;20,88;Andrea Petkovic;180;GER;28,32
Brisbane;2016-01-04;Kemény;6-4 6-4;Angelique Kerber;173;GER;27,96;Anastasia Pavlyuchenkova;177;RUS;24,51
Brisbane;2016-01-04;Kemény;4-6 6-4 7-5;Carla Suarez Navarro;162;ESP;27,33;Varvara Lepchenko;180;USA;29,62
Brisbane;2016-01-04;Kemény;6-3 6-2;Victoria Azarenka;180;BLR;26,43;Ysaline Bonaventure;;BEL;21,35
Brisbane;2016-01-04;Kemény;6-1 6-1;Roberta Vinci;163;ITA;32,88;Dominika Cibulkova;161;SVK;26,66
Brisbane;2016-01-04;Kemény;7-5 6-4;Andrea Petkovic;180;GER;28,32;Ekaterina Makarova;178;RUS;27,58
Brisbane;2016-01-04;Kemény;7-5 7-5;Samantha Crawford;;USA;20,88;Belinda Bencic;;SUI;18,82
Brisbane;2016-01-04;Kemény;6-2 1-6 6-4;Anastasia Pavlyuchenkova;177;RUS;24,51;Alize Cornet;173;FRA;25,95
Brisbane;2016-01-04;Kemény;6-3 6-0;Angelique Kerber;173;GER;27,96;Madison Brengle;;USA;25,75
Brisbane;2016-01-04;Kemény;6-1 6-7(3) 6-4;Carla Suarez Navarro;162;ESP;27,33;Samantha Stosur;172;AUS;31,76
Brisbane;2016-01-04;Kemény;7-6(9) 1-0 RET;Varvara Lepchenko;180;USA;29,62;Garbine Muguruza;182;ESP;22,24
Brisbane;2016-01-04;Kemény;6-2 6-0;Victoria Azarenka;180;BLR;26,43;Elena Vesnina;176;RUS;29,43
Brisbane;2016-01-04;Kemény;3-6 6-4 6-4;Dominika Cibulkova;161;SVK;26,66;Yanina Wickmayer;182;BEL;26,21
Brisbane;2016-01-04;Kemény;3-6 6-2 6-4;Roberta Vinci;163;ITA;32,88;Jelena Jankovic;177;SRB;30,85
Brisbane;2016-01-04;Kemény;6-4 2-6 6-3;Ekaterina Makarova;178;RUS;27,58;Margarita Gasparyan;;RUS;21,34
Brisbane;2016-01-04;Kemény;6-1 6-2;Andrea Petkovic;180;GER;28,32;Teliana Pereira;;BRA;27,46
Brisbane;2016-01-04;Kemény;6-4 6-4;Samantha Crawford;;USA;20,88;Priscilla Hon;;AUS;17,65
Brisbane;2016-01-04;Kemény;6-1 6-2;Belinda Bencic;;SUI;18,82;Sara Errani;164;ITA;28,68
Brisbane;2016-01-04;Kemény;6-2 6-1;Anastasia Pavlyuchenkova;177;RUS;24,51;Timea Bacsinszky;;SUI;26,57
Brisbane;2016-01-04;Kemény;6-3 6-4;Alize Cornet;173;FRA;25,95;Kristina Mladenovic;184;FRA;22,64
Brisbane;2016-01-04;Kemény;6-4 4-6 6-4;Madison Brengle;;USA;25,75;Kateryna Bondarenko;175;UKR;29,41
Brisbane;2016-01-04;Kemény;5-7 6-3 6-0;Angelique Kerber;173;GER;27,96;Camila Giorgi;168;ITA;24,01
Brisbane;2016-01-04;Kemény;6-1 6-2;Carla Suarez Navarro;162;ESP;27,33;Ajla Tomljanovic;;CRO;22,66
Brisbane;2016-01-04;Kemény;6-4 3-6 6-4;Samantha Stosur;172;AUS;31,76;Jana Cepelova;168;SVK;22,60
Brisbane;2016-01-04;Kemény;6-2 6-1;Varvara Lepchenko;180;USA;29,62;Anna Karolina Schmiedlova;;SVK;21,31
Shenzhen;2016-01-04;Kemény;6-3 6-2;Agnieszka Radwanska;170;POL;26,83;Alison Riske;;USA;25,51
Shenzhen;2016-01-04;Kemény;6-2 6-4;Agnieszka Radwanska;170;POL;26,83;Anna Lena Friedsam;;GER;21,92
Shenzhen;2016-01-04;Kemény;6-2 6-4;Alison Riske;;USA;25,51;Timea Babos;179;HUN;22,65
Shenzhen;2016-01-04;Kemény;6-3 6-2;Agnieszka Radwanska;170;POL;26,83;Qiang Wang;;CHN;23,97
Shenzhen;2016-01-04;Kemény;6-4 2-6 6-1;Anna Lena Friedsam;;GER;21,92;Katerina Siniakova;;CZE;19,65
Shenzhen;2016-01-04;Kemény;6-4 6-4;Timea Babos;179;HUN;22,65;Eugenie Bouchard;;CAN;21,86
Shenzhen;2016-01-04;Kemény;6-1 3-6 6-3;Alison Riske;;USA;25,51;Anett Kontaveit;;EST;20,03
Shenzhen;2016-01-04;Kemény;6-1 7-5;Agnieszka Radwanska;170;POL;26,83;Shuai Zhang;;CHN;26,95
Shenzhen;2016-01-04;Kemény;7-6(3) 6-3;Qiang Wang;;CHN;23,97;Vania King;165;USA;26,84
Shenzhen;2016-01-04;Kemény;7-5 3-2 RET;Anna Lena Friedsam;;GER;21,92;Irina Camelia Begu;181;ROU;25,36
Shenzhen;2016-01-04;Kemény;6-0 6-4;Katerina Siniakova;;CZE;19,65;Zarina Diyas;;KAZ;22,21
Shenzhen;2016-01-04;Kemény;6-4 6-2;Eugenie Bouchard;;CAN;21,86;Nicole Gibbs;;USA;22,84
Shenzhen;2016-01-04;Kemény;6-1 6-4;Timea Babos;179;HUN;22,65;Monica Niculescu;168;ROU;28,28
Shenzhen;2016-01-04;Kemény;3-6 7-5 6-1;Alison Riske;;USA;25,51;Su Wei Hsieh;169;TPE;30,00
Shenzhen;2016-01-04;Kemény;6-1 6-2;Anett Kontaveit;;EST;20,03;Saisai Zheng;;CHN;21,91
Shenzhen;2016-01-04;Kemény;6-4 6-3;Agnieszka Radwanska;170;POL;26,83;Aleksandra Krunic;;SRB;22,81
Shenzhen;2016-01-04;Kemény;6-3 6-3;Shuai Zhang;;CHN;26,95;Irina Khromacheva;;RUS;20,65
Shenzhen;2016-01-04;Kemény;7-5 6-4;Vania King;165;USA;26,84;Stefanie Voegele;170;SUI;25,82
Shenzhen;2016-01-04;Kemény;6-3 3-6 6-3;Qiang Wang;;CHN;23,97;Johanna Konta;;GBR;24,64
Shenzhen;2016-01-04;Kemény;6-3 6-2;Irina Camelia Begu;181;ROU;25,36;Lara Arruabarrena;166;ESP;23,79
Shenzhen;2016-01-04;Kemény;6-0 6-3;Anna Lena Friedsam;;GER;21,92;Bojana Jovanovski;175;SRB;24,01
Shenzhen;2016-01-04;Kemény;6-3 6-3;Katerina Siniakova;;CZE;19,65;Cristina Andreea Mitu;;ROU;24,28
Shenzhen;2016-01-04;Kemény;6-4 7-6(3);Zarina Diyas;;KAZ;22,21;Kai Lin Zhang;;CHN;25,93
Shenzhen;2016-01-04;Kemény;6-4 1-6 7-5;Eugenie Bouchard;;CAN;21,86;Donna Vekic;;CRO;19,52
Shenzhen;2016-01-04;Kemény;6-0 6-2;Nicole Gibbs;;USA;22,84;Tereza Smitkova;;CZE;21,23
Shenzhen;2016-01-04;Kemény;6-3 6-2;Timea Babos;179;HUN;22,65;Evgeniya Rodina;;RUS;26,91
Shenzhen;2016-01-04;Kemény;1-6 6-4 6-3;Monica Niculescu;168;ROU;28,28;Anastasija Sevastova;;LAT;25,73
Shenzhen;2016-01-04;Kemény;6-7(3) 6-3 6-2;Alison Riske;;USA;25,51;Annika Beck;170;GER;21,88
Shenzhen;2016-01-04;Kemény;6-4 7-5;Su Wei Hsieh;169;TPE;30,00;Ying Ying Duan;;CHN;26,59
Shenzhen;2016-01-04;Kemény;6-4 7-6(5);Anett Kontaveit;;EST;20,03;Yaroslava Shvedova;180;KAZ;28,31
Shenzhen;2016-01-04;Kemény;6-2 0-0 RET;Saisai Zheng;;CHN;21,91;Petra Kvitova;183;CZE;25,83
Brisbane International;2015-01-05;Kemény;0-6 7-5 6-4;Yaroslava Shvedova;180;KAZ;27,32;Sabine Lisicki;178;GER;25,29
Brisbane International;2015-01-05;Kemény;6-3 6-0;Mirjana Lucic;;CRO;32,83;Christina Mchale;170;USA;22,65
Brisbane International;2015-01-05;Kemény;3-6 6-2 6-1;Carla Suarez Navarro;162;ESP;26,34;Tsvetana Pironkova;180;BUL;27,31
Brisbane International;2015-01-05;Kemény;6-4 6-3;Angelique Kerber;173;GER;26,97;Caroline Garcia;;FRA;21,22
Brisbane International;2015-01-05;Kemény;7-5 6-3;Daria Gavrilova;;RUS;20,84;Alison Riske;;USA;24,51
Brisbane International;2015-01-05;Kemény;6-0 6-2;Elina Svitolina;174;UKR;20,31;Magdalena Rybarikova;180;SVK;26,25
Brisbane International;2015-01-05;Kemény;7-6(6) 6-0;Ajla Tomljanovic;;CRO;21,66;Jelena Jankovic;177;SRB;29,85
Brisbane International;2015-01-05;Kemény;6-4 6-2;Alla Kudryavtseva;;RUS;27,17;Bethanie Mattek Sands;168;USA;29,79
Brisbane International;2015-01-05;Kemény;4-6 7-6(7) 6-4;Karolina Pliskova;184;CZE;22,79;Victoria Azarenka;180;BLR;25,43
Brisbane International;2015-01-05;Kemény;4-6 6-4 7-5;Varvara Lepchenko;180;USA;28,63;Samantha Stosur;172;AUS;30,77
Brisbane International;2015-01-05;Kemény;7-5 6-2;Madison Keys;178;USA;19,88;Dominika Cibulkova;161;SVK;25,67
Brisbane International;2015-01-05;Kemény;6-4 5-7 6-4;Kaia Kanepi;181;EST;29,57;Andrea Petkovic;180;GER;27,32
Brisbane International;2015-01-05;Kemény;7-6(6) 6-3;Madison Brengle;;USA;24,76;Lesia Tsurenko;174;UKR;25,60
Brisbane International;2015-01-05;Kemény;6-4 6-1;Jarmila Gajdosova;174;AUS;27,70;Shuai Zhang;;CHN;25,95
Brisbane International;2015-01-05;Kemény;6-0 6-1;Maria Sharapova;;RUS;27,72;Yaroslava Shvedova;180;KAZ;27,32
Brisbane International;2015-01-05;Kemény;5-7 6-3 6-4;Carla Suarez Navarro;162;ESP;26,34;Mirjana Lucic;;CRO;32,83
Brisbane International;2015-01-05;Kemény;6-3 7-5;Angelique Kerber;173;GER;26,97;Daria Gavrilova;;RUS;20,84
Brisbane International;2015-01-05;Kemény;6-3 6-2;Elina Svitolina;174;UKR;20,31;Ajla Tomljanovic;;CRO;21,66
Brisbane International;2015-01-05;Kemény;4-6 6-3 6-3;Alla Kudryavtseva;;RUS;27,17;Karolina Pliskova;184;CZE;22,79
Brisbane International;2015-01-05;Kemény;6-4 6-4;Varvara Lepchenko;180;USA;28,63;Madison Keys;178;USA;19,88
Brisbane International;2015-01-05;Kemény;6-3 7-6(3);Kaia Kanepi;181;EST;29,57;Madison Brengle;;USA;24,76
Brisbane International;2015-01-05;Kemény;6-4 6-1;Ana Ivanovic;183;SRB;27,16;Jarmila Gajdosova;174;AUS;27,70
Brisbane International;2015-01-05;Kemény;6-1 6-3;Maria Sharapova;;RUS;27,72;Carla Suarez Navarro;162;ESP;26,34
Brisbane International;2015-01-05;Kemény;4-6 7-5 6-3;Elina Svitolina;174;UKR;20,31;Angelique Kerber;173;GER;26,97
Brisbane International;2015-01-05;Kemény;7-5 7-5;Varvara Lepchenko;180;USA;28,63;Alla Kudryavtseva;;RUS;27,17
Brisbane International;2015-01-05;Kemény;4-6 6-4 6-3;Ana Ivanovic;183;SRB;27,16;Kaia Kanepi;181;EST;29,57
Brisbane International;2015-01-05;Kemény;6-1 6-3;Maria Sharapova;;RUS;27,72;Elina Svitolina;174;UKR;20,31
Brisbane International;2015-01-05;Kemény;7-6(2) 6-4;Ana Ivanovic;183;SRB;27,16;Varvara Lepchenko;180;USA;28,63
Brisbane International;2015-01-05;Kemény;6-7(4) 6-3 6-3;Maria Sharapova;;RUS;27,72;Ana Ivanovic;183;SRB;27,16
Shenzhen;2015-01-05;Kemény;4-6 6-4 6-3;Simona Halep;168;ROU;23,27;Annika Beck;170;GER;20,88
Shenzhen;2015-01-05;Kemény;2-6 6-3 6-3;Natalia Vikhlyantseva;;RUS;17,88;Anna Lena Friedsam;;GER;20,93
Shenzhen;2015-01-05;Kemény;6-4 7-6(4);Aleksandra Krunic;;SRB;21,81;Lin Zhu;;CHN;20,94
Shenzhen;2015-01-05;Kemény;6-3 4-6 7-6(5);Anna Karolina Schmiedlova;;SVK;20,31;Klara Koukalova;166;CZE;32,86
Shenzhen;2015-01-05;Kemény;6-3 6-1;Zarina Diyas;;KAZ;21,22;Donna Vekic;;CRO;18,52
Shenzhen;2015-01-05;Kemény;6-7(4) 6-1 6-4;Timea Babos;179;HUN;21,66;Qiang Wang;;CHN;22,98
Shenzhen;2015-01-05;Kemény;7-5 5-7 6-1;Saisai Zheng;;CHN;20,91;Alexandra Dulgheru;;ROU;25,60
Shenzhen;2015-01-05;Kemény;6-1 7-5;Polona Hercog;182;SLO;23,96;Monica Niculescu;168;ROU;27,28
Shenzhen;2015-01-05;Kemény;6-1 4-6 6-4;Timea Bacsinszky;;SUI;25,58;Stefanie Voegele;170;SUI;24,82
Shenzhen;2015-01-05;Kemény;6-3 6-3;Karin Knapp;180;ITA;27,52;Pauline Parmentier;175;FRA;28,93
Shenzhen;2015-01-05;Kemény;6-4 6-3;Cagla Buyukakcay;;TUR;25,27;Lara Arruabarrena;166;ESP;22,80
Shenzhen;2015-01-05;Kemény;4-6 6-4 6-3;Vera Zvonareva;172;RUS;30,33;Shuai Peng;173;CHN;28,99
Shenzhen;2015-01-05;Kemény;6-7(5) 6-4 6-1;Katerina Siniakova;;CZE;18,66;Irina Camelia Begu;181;ROU;24,36
Shenzhen;2015-01-05;Kemény;3-6 6-3 6-3;Tereza Smitkova;;CZE;20,24;Olga Govortsova;182;BLR;26,37
Shenzhen;2015-01-05;Kemény;6-2 6-7(4) 6-3;Bojana Jovanovski;175;SRB;23,01;Maria Teresa Torro Flor;173;ESP;22,68
Shenzhen;2015-01-05;Kemény;6-3 6-1;Petra Kvitova;183;CZE;24,83;Ying Ying Duan;;CHN;25,59
Shenzhen;2015-01-05;Kemény;6-2 6-2;Simona Halep;168;ROU;23,27;Natalia Vikhlyantseva;;RUS;17,88
Shenzhen;2015-01-05;Kemény;3-6 7-6(1) 6-1;Aleksandra Krunic;;SRB;21,81;Anna Karolina Schmiedlova;;SVK;20,31
Shenzhen;2015-01-05;Kemény;6-3 6-4;Zarina Diyas;;KAZ;21,22;Timea Babos;179;HUN;21,66
Shenzhen;2015-01-05;Kemény;6-3 2-6 6-2;Saisai Zheng;;CHN;20,91;Polona Hercog;182;SLO;23,96
Shenzhen;2015-01-05;Kemény;7-5 6-2;Timea Bacsinszky;;SUI;25,58;Karin Knapp;180;ITA;27,52
Shenzhen;2015-01-05;Kemény;6-3 7-6(5);Vera Zvonareva;172;RUS;30,33;Cagla Buyukakcay;;TUR;25,27
Shenzhen;2015-01-05;Kemény;6-3 2-6 6-1;Tereza Smitkova;;CZE;20,24;Katerina Siniakova;;CZE;18,66
Shenzhen;2015-01-05;Kemény;6-1 6-2;Petra Kvitova;183;CZE;24,83;Bojana Jovanovski;175;SRB;23,01
Shenzhen;2015-01-05;Kemény;6-3 6-3;Simona Halep;168;ROU;23,27;Aleksandra Krunic;;SRB;21,81
Shenzhen;2015-01-05;Kemény;3-6 7-6(2) 6-2;Saisai Zheng;;CHN;20,91;Zarina Diyas;;KAZ;21,22
Shenzhen;2015-01-05;Kemény;3-2 RET;Timea Bacsinszky;;SUI;25,58;Vera Zvonareva;172;RUS;30,33
Shenzhen;2015-01-05;Kemény;7-5 6-4;Petra Kvitova;183;CZE;24,83;Tereza Smitkova;;CZE;20,24
Shenzhen;2015-01-05;Kemény;6-2 6-3;Simona Halep;168;ROU;23,27;Saisai Zheng;;CHN;20,91
Shenzhen;2015-01-05;Kemény;6-4 6-4;Timea Bacsinszky;;SUI;25,58;Petra Kvitova;183;CZE;24,83
Shenzhen;2015-01-05;Kemény;6-2 6-2;Simona Halep;168;ROU;23,27;Timea Bacsinszky;;SUI;25,58
Auckland;2015-01-05;Kemény;6-3 6-2;Caroline Wozniacki;177;DEN;24,49;Julia Glushko;;ISR;25,01
Auckland;2015-01-05;Kemény;7-5 3-6 6-0;Taylor Townsend;;USA;18,72;Yanina Wickmayer;182;BEL;25,21
Auckland;2015-01-05;Kemény;6-1 6-4;Julia Goerges;180;GER;26,17;Anna Tatishvili;171;GEO;24,92
Auckland;2015-01-05;Kemény;3-6 7-6(6) 6-4;Lucie Hradecka;177;CZE;29,63;Svetlana Kuznetsova;174;RUS;29,52
Auckland;2015-01-05;Kemény;6-1 3-6 6-2;Barbora Zahlavova Strycova;164;CZE;28,77;Chanelle Scheepers;;RSA;30,81
Auckland;2015-01-05;Kemény;7-5 2-6 6-4;Marina Erakovic;174;NZL;26,83;Monica Puig;;PUR;21,27
Auckland;2015-01-05;Kemény;7-6(1) 1-6 7-6(3);Kirsten Flipkens;165;BEL;28,99;Johanna Larsson;174;SWE;26,38
Auckland;2015-01-05;Kemény;5-7 6-2 6-3;Coco Vandeweghe;185;USA;23,08;Roberta Vinci;163;ITA;31,88
Auckland;2015-01-05;Kemény;6-2 6-1;Ana Konjuh;;CRO;17,02;Mona Barthel;185;GER;24,49
Auckland;2015-01-05;Kemény;7-6(5) 6-2;Elena Vesnina;176;RUS;28,43;Kristina Mladenovic;184;FRA;21,65
Auckland;2015-01-05;Kemény;6-3 6-2;Kurumi Nara;;JPN;23,02;Kiki Bertens;182;NED;23,07
Auckland;2015-01-05;Kemény;6-1 6-0;Venus Williams;185;USA;34,55;Jana Cepelova;168;SVK;21,60
Auckland;2015-01-05;Kemény;6-3 6-1;Sloane Stephens;170;USA;21,80;Silvia Soler Espinosa;;ESP;27,13
Auckland;2015-01-05;Kemény;1-6 6-4 6-3;Lauren Davis;157;USA;21,24;Shelby Rogers;;USA;22,23
Auckland;2015-01-05;Kemény;6-4 7-5;Urszula Radwanska;177;POL;24,08;Francesca Schiavone;166;ITA;34,54
Auckland;2015-01-05;Kemény;6-3 6-2;Daniela Hantuchova;181;SVK;31,70;Sara Errani;164;ITA;27,69
Auckland;2015-01-05;Kemény;6-1 7-6(4);Caroline Wozniacki;177;DEN;24,49;Taylor Townsend;;USA;18,72
Auckland;2015-01-05;Kemény;6-3 7-5;Julia Goerges;180;GER;26,17;Lucie Hradecka;177;CZE;29,63
Auckland;2015-01-05;Kemény;6-0 2-6 6-4;Barbora Zahlavova Strycova;164;CZE;28,77;Marina Erakovic;174;NZL;26,83
Auckland;2015-01-05;Kemény;6-1 6-7(5) 7-5;Coco Vandeweghe;185;USA;23,08;Kirsten Flipkens;165;BEL;28,99
Auckland;2015-01-05;Kemény;6-3 6-1;Elena Vesnina;176;RUS;28,43;Ana Konjuh;;CRO;17,02
Auckland;2015-01-05;Kemény;6-4 6-1;Venus Williams;185;USA;34,55;Kurumi Nara;;JPN;23,02
Auckland;2015-01-05;Kemény;1-6 6-4 6-1;Lauren Davis;157;USA;21,24;Sloane Stephens;170;USA;21,80
Auckland;2015-01-05;Kemény;1-6 6-3 6-1;Urszula Radwanska;177;POL;24,08;Daniela Hantuchova;181;SVK;31,70
Auckland;2015-01-05;Kemény;6-4 6-4;Caroline Wozniacki;177;DEN;24,49;Julia Goerges;180;GER;26,17
Auckland;2015-01-05;Kemény;6-4 7-5;Barbora Zahlavova Strycova;164;CZE;28,77;Coco Vandeweghe;185;USA;23,08
Auckland;2015-01-05;Kemény;6-2 6-4;Venus Williams;185;USA;34,55;Elena Vesnina;176;RUS;28,43
Auckland;2015-01-05;Kemény;2-6 6-2 6-1;Lauren Davis;157;USA;21,24;Urszula Radwanska;177;POL;24,08
Auckland;2015-01-05;Kemény;4-6 6-3 6-4;Caroline Wozniacki;177;DEN;24,49;Barbora Zahlavova Strycova;164;CZE;28,77
Auckland;2015-01-05;Kemény;6-0 6-3;Venus Williams;185;USA;34,55;Lauren Davis;157;USA;21,24
Auckland;2015-01-05;Kemény;2-6 6-3 6-3;Venus Williams;185;USA;34,55;Caroline Wozniacki;177;DEN;24,49
Sydney;2015-01-12;Kemény;6-4 6-4;Karolina Pliskova;184;CZE;22,81;Polona Hercog;182;SLO;23,98
Sydney;2015-01-12;Kemény;6-3 3-6 7-6(4);Carla Suarez Navarro;162;ESP;26,36;Sabine Lisicki;178;GER;25,31
Sydney;2015-01-12;Kemény;7-6(1) 6-2;Ekaterina Makarova;178;RUS;26,60;Elina Svitolina;174;UKR;20,33
Sydney;2015-01-12;Kemény;6-3 6-2;Agnieszka Radwanska;170;POL;25,85;Alize Cornet;173;FRA;24,97
Sydney;2015-01-12;Kemény;6-0 7-5;Garbine Muguruza;182;ESP;21,26;Sara Errani;164;ITA;27,71
Sydney;2015-01-12;Kemény;6-3 6-0;Daria Gavrilova;;RUS;20,86;Belinda Bencic;;SUI;17,84
Sydney;2015-01-12;Kemény;1-6 6-4 6-3;Angelique Kerber;173;GER;26,98;Lesia Tsurenko;174;UKR;25,62
Sydney;2015-01-12;Kemény;6-3 7-6(4);Tsvetana Pironkova;180;BUL;27,33;Flavia Pennetta;172;ITA;32,88
Sydney;2015-01-12;Kemény;6-4 6-4;Madison Keys;178;USA;19,90;Svetlana Kuznetsova;174;RUS;29,54
Sydney;2015-01-12;Kemény;7-6(3) 5-7 6-3;Samantha Stosur;172;AUS;30,79;Lucie Safarova;177;CZE;27,94
Sydney;2015-01-12;Kemény;6-4 1-1 RET;Barbora Zahlavova Strycova;164;CZE;28,79;Caroline Wozniacki;177;DEN;24,51
Sydney;2015-01-12;Kemény;6-2 6-2;Dominika Cibulkova;161;SVK;25,69;Kristina Mladenovic;184;FRA;21,66
Sydney;2015-01-12;Kemény;6-1 7-6(5);Jarmila Gajdosova;174;AUS;27,72;Andrea Petkovic;180;GER;27,34
Sydney;2015-01-12;Kemény;1-6 7-6(1) 6-4;Shuai Peng;173;CHN;29,01;Anastasia Pavlyuchenkova;177;RUS;23,53
Sydney;2015-01-12;Kemény;6-0 6-0;Karolina Pliskova;184;CZE;22,81;Nicole Gibbs;;USA;21,86
Sydney;2015-01-12;Kemény;4-6 6-1 6-4;Carla Suarez Navarro;162;ESP;26,36;Ekaterina Makarova;178;RUS;26,60
Sydney;2015-01-12;Kemény;3-6 7-6(4) 6-2;Garbine Muguruza;182;ESP;21,26;Agnieszka Radwanska;170;POL;25,85
Sydney;2015-01-12;Kemény;6-7(6) 7-6(2) 6-3;Angelique Kerber;173;GER;26,98;Daria Gavrilova;;RUS;20,86
Sydney;2015-01-12;Kemény;4-6 4-1;Tsvetana Pironkova;180;BUL;27,33;Madison Keys;178;USA;19,90
Sydney;2015-01-12;Kemény;7-6(1) 6-2;Barbora Zahlavova Strycova;164;CZE;28,79;Samantha Stosur;172;AUS;30,79
Sydney;2015-01-12;Kemény;1-6 6-3 6-4;Jarmila Gajdosova;174;AUS;27,72;Dominika Cibulkova;161;SVK;25,69
Sydney;2015-01-12;Kemény;6-1 7-5;Petra Kvitova;183;CZE;24,85;Shuai Peng;173;CHN;29,01
Sydney;2015-01-12;Kemény;4-6 6-4 6-0;Karolina Pliskova;184;CZE;22,81;Carla Suarez Navarro;162;ESP;26,36
Sydney;2015-01-12;Kemény;0-6 6-1 6-4;Angelique Kerber;173;GER;26,98;Garbine Muguruza;182;ESP;21,26
